word,onset+vowel
goat,go
poo,pu
sate,se
gobble,gɔ
set,sɛ
chalk,tʃɔ
nap,næ
bit,bɪ
gate,ge
sit,sɪ
shoot,ʃu
jack,dʒæ
cheat,tʃi
jay,dʒe
pet,pɛ
beep,bi
git,gɪ
Z,zi
chase,tʃe
shed,ʃɛ
geek,gi
put,pʊ
chit,tʃɪ
Jew,dʒu
shade,ʃe
zoot,zu
know,no
sheet,ʃi
nudge,nʊ
bet,bɛ
loop,lu
pave,pe
caught,kɔ
zone,zo
pit,pɪ
lock,lɔ
choke,tʃo
paw,pɔ
zit,zɪ
goo,gu
neat,ni
chew,tʃu
should,ʃʊ
sought,sɔ
check,tʃɛ
peep,pi
cat,kæ
let,lɛ
good,gʊ
Zack,zæ
poke,po
lick,lɪ
Jeep,dʒi
boat,bo
lap,læ
seat,si
chat,tʃæ
jet,dʒɛ
new,nu
low,lo
knock,nɔ
soot,sʊ
showed,ʃo
back,bæ
leap,li
cool,ku
joke,dʒo
pack,pæ
get,gɛ
boot,bu
sat,sæ
zeta,ze
kept,kɛ
late,le
cook,kʊ
ship,ʃɪ
sewed,so
bought,bɔ
keep,ki
suit,su
cold,ko
nate,ne
jaw,dʒɔ
net,nɛ
book,bʊ
shack,ʃæ
nick,nɪ
Kate,ke
look,lʊ
jitter,dʒɪ
gap,gæ
Shaw,ʃɔ
bate,be
kit,kɪ
